place,year,perDiff,distance,discipline
1,1968,13,100,run
2,1968,13.86,100,run
3,1968,14.85,100,run
4,1968,14.85,100,run
5,1968,15.84,100,run
6,1968,15.69,100,run
7,1968,14.56,100,run
8,1968,16.5,100,run
1,1972,14.14,100,run
2,1972,14.14,100,run
3,1972,13,100,run
4,1972,12.87,100,run
5,1972,12.87,100,run
6,1972,12.87,100,run
7,1972,13.86,100,run
8,1972,13.73,100,run
1,1976,9.59,100,run
2,1976,9.55,100,run
3,1976,10.22,100,run
4,1976,10.56,100,run
5,1976,11.79,100,run
6,1976,12.09,100,run
7,1976,12.34,100,run
8,1976,13.6,100,run
1,1980,10.33,100,run
2,1980,11.3,100,run
3,1980,11.17,100,run
4,1980,11.63,100,run
5,1980,12.39,100,run
6,1980,12.45,100,run
7,1980,11.7,100,run
8,1980,10.69,100,run
1,1984,11.13,100,run
2,1984,9.7,100,run
3,1984,9.87,100,run
4,1984,10.2,100,run
5,1984,10.19,100,run
6,1984,11.05,100,run
7,1984,11.71,100,run
8,1984,13.81,100,run
1,1988,8.49,100,run
2,1988,9.63,100,run
3,1988,10.54,100,run
4,1988,11.34,100,run
5,1988,11.52,100,run
6,1988,12.58,100,run
7,1988,12.32,100,run
8,1988,11.51,100,run
1,1992,8.72,100,run
2,1992,9.22,100,run
3,1992,10.59,100,run
4,1992,10.26,100,run
5,1992,10.15,100,run
6,1992,10.21,100,run
7,1992,10.68,100,run
8,1992,10.85,100,run
1,1996,9.07,100,run
2,1996,9.1,100,run
3,1996,8.98,100,run
4,1996,8.95,100,run
5,1996,8.84,100,run
6,1996,10.03,100,run
7,1996,9.39,100,run
8,1996,8.81,100,run
1,2000,8.69,100,run
2,2000,9.73,100,run
3,2000,10.53,100,run
4,2000,10.51,100,run
5,2000,9.96,100,run
6,2000,9.82,100,run
7,2000,10.11,100,run
8,2000,10.98,100,run
1,2004,10.7,100,run
2,2004,11.09,100,run
3,2004,11.78,100,run
4,2004,11.21,100,run
5,2004,11.18,100,run
6,2004,11.25,100,run
7,2004,10.76,100,run
8,2004,8.5,100,run
1,2008,12.09,100,run
2,2008,11.22,100,run
3,2008,10.77,100,run
4,2008,10.96,100,run
5,2008,9.93,100,run
6,2008,10.31,100,run
7,2008,10.69,100,run
8,2008,10.98,100,run
1,2012,11.43,100,run
2,2012,11.16,100,run
3,2012,11.48,100,run
4,2012,11.37,100,run
5,2012,11.85,100,run
6,2012,11.58,100,run
7,2012,11.02,100,run
8,2012,10.71,100,run
1,2016,9.59,100,run
2,2016,9.55,100,run
3,2016,8.02,100,run
4,2016,9.5,100,run
5,2016,9.27,100,run
6,2016,9.44,100,run
7,2016,10.23,100,run
8,2016,7.45,100,run
1,1968,19.29,200,run
2,1968,18.5,200,run
3,1968,17.91,200,run
4,1968,18.91,200,run
5,1968,20.9,200,run
6,1968,20.69,200,run
7,1968,18.93,200,run
8,1968,19.9,200,run
1,1972,14.71,200,run
2,1972,14.15,200,run
3,1972,15.05,200,run
4,1972,16.02,200,run
5,1972,16.43,200,run
6,1972,16.35,200,run
7,1972,15.71,200,run
8,1972,15.64,200,run
1,1976,11.89,200,run
2,1976,11.97,200,run
3,1976,11.36,200,run
4,1976,13.25,200,run
5,1976,13.58,200,run
6,1976,13.9,200,run
7,1976,14.13,200,run
8,1976,11.35,200,run
1,1980,10.79,200,run
2,1980,12.17,200,run
3,1980,12.13,200,run
4,1980,12.16,200,run
5,1980,12.01,200,run
6,1980,12.43,200,run
7,1980,12.15,200,run
8,1980,12.57,200,run
1,1984,11.58,200,run
2,1984,11.72,200,run
3,1984,10.9,200,run
4,1984,11.65,200,run
5,1984,13.09,200,run
6,1984,13.76,200,run
7,1984,14.53,200,run
8,1984,13.93,200,run
1,1988,9.47,200,run
2,1988,9.6,200,run
3,1988,9.83,200,run
4,1988,10.27,200,run
5,1988,10.46,200,run
6,1988,10.28,200,run
7,1988,11.91,200,run
8,1988,11.34,200,run
1,1992,11.32,200,run
2,1992,11.98,200,run
3,1992,11.77,200,run
4,1992,12.06,200,run
5,1992,12.5,200,run
6,1992,13.53,200,run
7,1992,13.52,200,run
8,1992,12.61,200,run
1,1996,12.61,200,run
2,1996,10.73,200,run
3,1996,11.03,200,run
4,1996,10.81,200,run
5,1996,10.54,200,run
6,1996,11.03,200,run
7,1996,11.06,200,run
8,1996,13.24,200,run
1,2000,10.53,200,run
2,2000,11.12,200,run
3,2000,12.12,200,run
4,2000,13.23,200,run
5,2000,13.01,200,run
6,2000,12.54,200,run
7,2000,13.25,200,run
8,2000,13.87,200,run
1,2004,11.46,200,run
2,2004,11.74,200,run
3,2004,11.01,200,run
4,2004,11.53,200,run
5,2004,11.47,200,run
6,2004,10.25,200,run
7,2004,9.56,200,run
8,2004,9.89,200,run
1,2008,9.87,200,run
2,2008,10.73,200,run
3,2008,11.56,200,run
4,2008,11.11,200,run
5,2008,8.38,200,run
6,2008,8.76,200,run
7,2008,8.49,200,run
8,2008,9.84,200,run
1,2012,9.43,200,run
2,2012,9.78,200,run
3,2012,10.22,200,run
4,2012,10.76,200,run
5,2012,10.42,200,run
6,2012,11.11,200,run
7,2012,10.95,200,run
8,2012,10.63,200,run
1,2016,12.66,200,run
2,2016,12.68,200,run
3,2016,12.65,200,run
4,2016,12.2,200,run
5,2016,12.81,200,run
6,2016,11.87,200,run
7,2016,16.39,200,run
8,2016,14.98,200,run
1,1968,21.59,400,run
2,1968,22.45,400,run
3,1968,21.75,400,run
4,1968,22.32,400,run
5,1968,22.72,400,run
6,1968,22.12,400,run
7,1968,22.57,400,run
8,1968,21.26,400,run
1,1972,17.46,400,run
2,1972,20.32,400,run
3,1972,18.71,400,run
4,1972,18.18,400,run
5,1972,17.88,400,run
6,1972,19.16,400,run
7,1972,19.82,400,run
8,1972,21.15,400,run
1,1976,16.11,400,run
2,1976,15.23,400,run
3,1976,15.1,400,run
4,1976,16.49,400,run
5,1976,16.66,400,run
6,1976,17.51,400,run
7,1976,17.64,400,run
8,1976,16.02,400,run
1,1980,12.28,400,run
2,1980,12.42,400,run
3,1980,12.24,400,run
4,1980,12.65,400,run
5,1980,13.49,400,run
6,1980,13.27,400,run
7,1980,14.07,400,run
8,1980,14.02,400,run
1,1984,10.22,400,run
2,1984,10.99,400,run
3,1984,11.16,400,run
4,1984,11.38,400,run
5,1984,12.17,400,run
6,1984,12.3,400,run
7,1984,11.75,400,run
8,1984,11.7,400,run
1,1988,14.68,400,run
2,1988,14.6,400,run
3,1988,13.88,400,run
4,1988,13.61,400,run
5,1988,15.27,400,run
6,1988,15.74,400,run
7,1988,14.92,400,run
8,1988,15.2,400,run
1,1992,14.63,400,run
2,1992,14.11,400,run
3,1992,14.02,400,run
4,1992,13.34,400,run
5,1992,13.98,400,run
6,1992,13.87,400,run
7,1992,13.44,400,run
8,1992,13.77,400,run
1,1996,16.3,400,run
2,1996,15.26,400,run
3,1996,15.38,400,run
4,1996,15.49,400,run
5,1996,15.99,400,run
6,1996,15.33,400,run
7,1996,16.04,400,run
8,1996,14.15,400,run
1,2000,14.17,400,run
2,2000,12.55,400,run
3,2000,12.61,400,run
4,2000,13.69,400,run
5,2000,13.96,400,run
6,2000,14.04,400,run
7,2000,14.07,400,run
8,2000,14.28,400,run
1,2004,11.7,400,run
2,2004,11.69,400,run
3,2004,12.51,400,run
4,2004,13.02,400,run
5,2004,13.15,400,run
6,2004,14.66,400,run
7,2004,14.77,400,run
8,2004,15.25,400,run
1,2008,13.39,400,run
2,2008,15.05,400,run
3,2008,14.06,400,run
4,2008,13.26,400,run
5,2008,12.2,400,run
6,2008,12.46,400,run
7,2008,13.8,400,run
8,2008,14.38,400,run
1,2012,11.7,400,run
2,2012,12.43,400,run
3,2012,12.57,400,run
4,2012,13.15,400,run
5,2012,13.17,400,run
6,2012,13.24,400,run
7,2012,13.05,400,run
8,2012,13.28,400,run
1,2016,12.99,400,run
2,2016,11.65,400,run
3,2016,11.94,400,run
4,2016,11.44,400,run
5,2016,11.19,400,run
6,2016,11.02,400,run
7,2016,12.34,400,run
8,2016,12.85,400,run
1,1968,15.49,800,run
2,1968,14.85,800,run
3,1968,15.49,800,run
4,1968,17.89,800,run
5,1968,21.35,800,run
6,1968,20.73,800,run
7,1968,21.35,800,run
8,1968,21.56,800,run
1,1972,20.04,800,run
2,1972,19.71,800,run
3,1972,19.89,800,run
4,1972,20.44,800,run
5,1972,20.8,800,run
6,1972,21.44,800,run
7,1972,20.94,800,run
8,1972,20.04,800,run
1,1976,14.34,800,run
2,1976,13.88,800,run
3,1976,13.6,800,run
4,1976,14.71,800,run
